Title,View,View1,shortprofile,shortprofile2
Renewal fee,Standard Chartered Bank Credit Card,There is not a high joining or renewal fee applicable on this card. Great card.,"Vijay
Posted on: Aug 8, 2019",Vijay
Uber spends,Standard Chartered Bank Credit Card,"On Uber spends, I get a cashback of 20% with this card.","Uttam
Posted on: Aug 8, 2019",Uttam
Renewal of my card,Standard Chartered Bank Credit Card,"On the renewal of my card, I got 5000 rewards with this card.","Ragini
Posted on: Aug 8, 2019",Ragini
Cashback on MMT,Standard Chartered Bank Credit Card,This card brought me a cashback on MMT with my first booking done with the card.,"Maninder
Posted on: Aug 8, 2019",Maninder
SCB card reward points,Standard Chartered Bank Credit Card,"The SCB card reward points can be redeemed against Amazon gift card, hotel bookings, air miles, and gift vouchers.","Vimal
Posted on: Aug 8, 2019",Vimal
It is so easy,Standard Chartered Bank Credit Card,It is so easy for me to redeem my reward points accrued on the card.,"Vedica
Posted on: Aug 8, 2019",Vedica
I get reward points,Standard Chartered Bank Credit Card,I get reward points on almost all my purchases done with my card.,"Vriti
Posted on: Aug 8, 2019",Vriti
Best credit card,Standard Chartered Bank Credit Card,This is the best credit card. It has definitely amplified my savings.,"Vishnu
Posted on: Aug 8, 2019",Vishnu
Hertz international car rental,Standard Chartered Bank Credit Card,"On the Hertz international car rental service, I had a saving of 25%.","Vani
Posted on: Aug 8, 2019",Vani
Discount,Standard Chartered Bank Credit Card,"With this card, I am getting a discount of 25% on Fast Track Immigration service at airports.","Vicky
Posted on: Aug 8, 2019",Vicky
Saving,Standard Chartered Bank Credit Card,There is a saving of minimum 25% with the car rental taken with my card.,"Vikram
Posted on: Aug 8, 2019",Vikram
Destinations across the world,Standard Chartered Bank Credit Card,"For more than 450 destinations across the world, I am getting a saving of 25% on the Fast Track Immigration service at airports.","Devgan
Posted on: Aug 8, 2019",Devgan
Avis international car rental,Standard Chartered Bank Credit Card,"On using the Avis international car rental service, I got a 35% discount.","Avi
Posted on: Aug 8, 2019",Avi
Cashback,Standard Chartered Bank Credit Card,Got a good cashback of 5% when I had some duty free spending.,"Manan
Posted on: Aug 8, 2019",Manan
Airport lounge access,Standard Chartered Bank Credit Card,"Anywhere in the world, I am getting an airport lounge access with my card.","Ashish
Posted on: Aug 8, 2019",Ashish
Priority Pass membership,Standard Chartered Bank Credit Card,This card offers me the Priority Pass membership complimentary. Super best!,"Pavni
Posted on: Aug 8, 2019",Pavni
Add on cards,Standard Chartered Bank Credit Card,There is no joining or renewal fee for add-on cards,"Amay
Posted on: Aug 8, 2019",Amay
SCB Ultimate card,Standard Chartered Bank Credit Card,"With my SCB Ultimate card, I am living my dream of playing golf. It gives me access to 150 premier golf courses worldwide and 20 within India.","Ashraf
Posted on: Aug 8, 2019",Ashraf
Discount,Standard Chartered Bank Credit Card,I am getting a discount of 25% at 250 high-class restaurants in India via online booking,"Deena
Posted on: Aug 8, 2019",Deena
Ultimate card,Standard Chartered Bank Credit Card,My SCB Ultimate card offers 24×7 concierge service assistance.,"Takdir
Posted on: Aug 8, 2019",Takdir
Thank you,Standard Chartered Bank Credit Card,Thank you to the team of SSB who were so helpful in getting me this card.,"Pavitesh
Posted on: Aug 8, 2019",Pavitesh
Suggestions,Standard Chartered Bank Credit Card,I am glad I sought suggestions from the agents of SSB who finally helped me with this card.,"Satvinder
Posted on: Aug 8, 2019",Satvinder
Super proud,Standard Chartered Bank Credit Card,Super proud of the agents of SCB. They gave me details related to every aspect of the card before application.,"Neha
Posted on: Aug 8, 2019",Neha
Card approved,Standard Chartered Bank Credit Card,It didn’t take me over 5 days to have my card approved and delivered.,"Angad
Posted on: Aug 8, 2019",Angad
Extremely lowcost,Standard Chartered Bank Credit Card,This is an extremely low-cost card with amazing benefits.,"Atharv
Posted on: Aug 8, 2019",Atharv
Lounging benefits,Standard Chartered Bank Credit Card,The lounging benefits applicable with this card are perfect.,"Leena
Posted on: Aug 8, 2019",Leena
Every penny is worth,Standard Chartered Bank Credit Card,Paid only 5000 INR as a welcome benefit. Every penny is worth.,"Ekta
Posted on: Aug 8, 2019",Ekta
So good,Standard Chartered Bank Credit Card,Happy that I didn’t have to bear any hidden cost. So good.,"Sanya
Posted on: Aug 8, 2019",Sanya
Transparent,Standard Chartered Bank Credit Card,The team was perfectly transparent with regards to all the details of this card.,"Tanya
Posted on: Aug 8, 2019",Tanya
Happy and satiated,Standard Chartered Bank Credit Card,Happy and satiated with the Priority pass membership that I got as a benefit of this card.,"Hanshu
Posted on: Aug 8, 2019",Hanshu
So glad,Standard Chartered Bank Credit Card,So glad that I could get my card delivered right at my door.,"Sonia
Posted on: Aug 8, 2019",Sonia
BOGO offer,Standard Chartered Bank Credit Card,I got a BOGO offer on movies with this card.  Superb! Best!,"Bhavani
Posted on: Aug 8, 2019",Bhavani
Finance cost,Standard Chartered Bank Credit Card,The finance cost applicable on this card is barely minimum.,"Farida
Posted on: Aug 8, 2019",Farida
Happy and content,Standard Chartered Bank Credit Card,Happy and content with the innumerable benefits coming my way with this card.,"Harry
Posted on: Aug 8, 2019",Harry
Discount,Standard Chartered Bank Credit Card,I am getting a discount of 25% on all the top restaurants in India with this card.,"Disha
Posted on: Aug 8, 2019",Disha
Add on card benefit,Standard Chartered Bank Credit Card,Got my mother the same card with the supplementary add on card benefit.,"Akshay
Posted on: Aug 8, 2019",Akshay
Priority Pass,Standard Chartered Bank Credit Card,Glad that me and my mom both got the priority pass with this card.,"Pawan
Posted on: Aug 8, 2019",Pawan
Satiated,Standard Chartered Bank Credit Card,Satiated with the golf game complimentary benefits with this card.,"Sujoy
Posted on: Aug 8, 2019",Sujoy
Renowned golf courses,Standard Chartered Bank Credit Card,I have access to all the renowned golf courses in India for free with my card.,"Reema
Posted on: Aug 8, 2019",Reema
Remainder converted into EMI,Standard Chartered Bank Credit Card,Paid out 1000 INR and got the remainder converted into EMI.,"Agrim
Posted on: Aug 8, 2019",Agrim
Perfect,Standard Chartered Bank Credit Card,"At stores online and offline, I can use my card. Perfect!","Mrinal
Posted on: Aug 8, 2019",Mrinal
Easy,Standard Chartered Bank Credit Card,Love how easy it was for me to get a home theatre online with my card.,"Ashish
Posted on: Aug 8, 2019",Ashish
Balance transfer facility on EMI,Standard Chartered Bank Credit Card,The balance transfer facility on EMI is great. This is the best card.,"Bhanu
Posted on: Aug 8, 2019",Bhanu
Amazed,Standard Chartered Bank Credit Card,Amazed at the global acceptance of this card. Best!!,"Amay
Posted on: Aug 8, 2019",Amay
It is the best,Standard Chartered Bank Credit Card,I carry this card as my travel partner. It is the best.,"Amandeep
Posted on: Aug 8, 2019",Amandeep
Any corner or store,Standard Chartered Bank Credit Card,My card can be used at any corner or store of the world.,"Anandi
Posted on: Aug 8, 2019",Anandi
All stores,Standard Chartered Bank Credit Card,All stores accepting Visa and Mastercard payments take my card.,"Astha
Posted on: Aug 8, 2019",Astha
Payments online and offline,Standard Chartered Bank Credit Card,This card is accepted for all types of payments online and offline.,"Rajat
Posted on: Aug 8, 2019",Rajat
Complementary insurance benefit,Standard Chartered Bank Credit Card,Got a complementary insurance benefit with my card. So relieved.,"Kapil
Posted on: Aug 8, 2019",Kapil
Air accidental insurance cover,Standard Chartered Bank Credit Card,I am getting an air accidental insurance cover with my SCB ultimate card.,"Ashraf
Posted on: Aug 8, 2019",Ashraf
Called the ultimate card,Standard Chartered Bank Credit Card,Called the ultimate card for all the right reasons. It is great.,"Astha
Posted on: Aug 8, 2019",Astha
Happy and content,Standard Chartered Bank Credit Card,Happy and content with the vivid reward system of this card.,"Harman
Posted on: Aug 8, 2019",Harman
Ultimate,Standard Chartered Bank Credit Card,The reward earn rate is fairly decent with my Ultimate card.,"Uma
Posted on: Aug 8, 2019",Uma
Reward points,Standard Chartered Bank Credit Card,"On a payment of INR 150, I earn 5 Reward points with my card. Best!","Meena
Posted on: Aug 8, 2019",Meena
Super relieved,Standard Chartered Bank Credit Card,Super relieved with the fairly decent interest cost applicable on my card.,"Sudipa
Posted on: Aug 8, 2019",Sudipa
Team was so honest,Standard Chartered Bank Credit Card,Can’t believe that the team was so honest and upfront with regards to the cost associated with the card.,"Tahira
Posted on: Aug 8, 2019",Tahira
EMI,Standard Chartered Bank Credit Card,I opted for a 6 month tenure for the EMI I had taken with this card.,"Eklavya
Posted on: Aug 8, 2019",Eklavya
Staff of SCB,Standard Chartered Bank Credit Card,The supremely talented staff of SCB helped me make a wise choice.,"Sohail
Posted on: Aug 8, 2019",Sohail
Balance transfer on EMI,Standard Chartered Bank Credit Card,There is an easy to follow balance transfer on EMI facility of this card.,"Bhakti
Posted on: Aug 8, 2019",Bhakti
Impressed,Standard Chartered Bank Credit Card,Impressed with the good EMI schemes of this card. Great!,"Abu
Posted on: Aug 8, 2019",Abu
Magnificent benefits,Standard Chartered Bank Credit Card,Love the magnificent benefits applicable on this card.,"Prateek
Posted on: Aug 8, 2019",Prateek
Good credit card,Standard Chartered Bank Credit Card,This is a good credit card with a perfect scheme of offers.,"Gopalan
Posted on: Aug 8, 2019",Gopalan
No better card,Standard Chartered Bank Credit Card,I don't think there could have been a better card than this one.,"Shreya
Posted on: Aug 8, 2019",Shreya
Golfing benefits,Standard Chartered Bank Credit Card,The golfing benefits of this card are totally the best!,"Abhijeet
Posted on: Aug 8, 2019",Abhijeet
Airport lounge access,Standard Chartered Bank Credit Card,This card offers more than 1000+ airport lounge access.,"Akshat
Posted on: Aug 8, 2019",Akshat
No fee applicable,Standard Chartered Bank Credit Card,There was no fee applicable on the supplementary card that came with this card.,"Naina
Posted on: Aug 8, 2019",Naina
Duty free spending,Standard Chartered Bank Credit Card,On the duty free spending done with my card I got an off of 5%.,"Shivam
Posted on: Aug 8, 2019",Shivam
Rich features,Standard Chartered Bank Credit Card,This card has rich features which are perfectly suitable for every need.,"Tia
Posted on: Aug 8, 2019",Tia
Benefits,Standard Chartered Bank Credit Card,The benefits on the card are truly worth the penny spent.,"Bina
Posted on: Aug 8, 2019",Bina
Nominal fee,Standard Chartered Bank Credit Card,There is a nominal fee of INR 5000 charged for this card.,"Nupur
Posted on: Aug 8, 2019",Nupur
Affluent customers,Standard Chartered Bank Credit Card,"Targeted for the affluent customers, I really wanted this credit card.","atul
Posted on: Aug 8, 2019",atul
Lifestyle benefits,Standard Chartered Bank Credit Card,The lifestyle benefits of this card is definitely better than the other cards.,"Lavish
Posted on: Aug 8, 2019",Lavish
Medium and high class benefits,Standard Chartered Bank Credit Card,There are both medium and high class benefits available with my card.,"Maina
Posted on: Aug 8, 2019",Maina
Nice credit card,Standard Chartered Bank Credit Card,This is a nice credit card which got me a loan from the bank with ease.,"Nilesh
Posted on: Aug 8, 2019",Nilesh
So proud of myself,Standard Chartered Bank Credit Card,So proud of myself for being able to find the perfect card.,"Svarna
Posted on: Aug 8, 2019",Svarna
So glad,Standard Chartered Bank Credit Card,So glad that the team at SCB helped me find my right card.,"Shreya
Posted on: Aug 8, 2019",Shreya
Perfect value based card,Standard Chartered Bank Credit Card,I am taking this card everywhere. It is a perfect value based card.,"Hemang
Posted on: Aug 8, 2019",Hemang
Overseas transactions,Standard Chartered Bank Credit Card,"On the overseas transactions that I do with my card, I have to bear a 3.5% as the transaction fee.","Ashraf
Posted on: Aug 8, 2019",Ashraf
Documentation,Standard Chartered Bank Credit Card,The documentation was simple quick and hassle free.,"Devashish
Posted on: Aug 8, 2019",Devashish
Online transactions,Standard Chartered Bank Credit Card,The online transactions done with my SCB credit card are 100% safe.,"Onkar
Posted on: Aug 8, 2019",Onkar
Small fee,Standard Chartered Bank Credit Card,I had to bear only a small fee of INR 1000 for my late fee payments.,"Sneha
Posted on: Aug 8, 2019",Sneha
Savings,Standard Chartered Bank Credit Card,My savings have genuinely amplified over time and the credit for it goes to this card.,"Savitri
Posted on: Aug 8, 2019",Savitri
Massive savings,Standard Chartered Bank Credit Card,I like this card for it brings in massive savings for me.,"Manan
Posted on: Aug 8, 2019",Manan
Contactless technology,Standard Chartered Bank Credit Card,This credit card works on the contactless technology.,"Rubin
Posted on: Aug 8, 2019",Rubin
Transactions,Standard Chartered Bank Credit Card,The transactions done with this credit card are 100% secure.,"Gursheen
Posted on: Aug 8, 2019",Gursheen
It was so easy,Standard Chartered Bank Credit Card,It was so easy for me take the benefit of balance transfer on my card.,"Yamini
Posted on: Aug 8, 2019",Yamini
Glad,Standard Chartered Bank Credit Card,"Glad that the team helped me with all the details pertaining to the card,","Ganju
Posted on: Aug 8, 2019",Ganju
Utility bills,Standard Chartered Bank Credit Card,Payment of utility bills is so easy and hassle free with my card.,"Urvashi
Posted on: Aug 8, 2019",Urvashi
So satisfied,Standard Chartered Bank Credit Card,So satisfied with my SCB Ultimate credit card. Good card!,"Supriya
Posted on: Aug 8, 2019",Supriya
No lengthy procedures,Standard Chartered Bank Credit Card,No lengthy procedures were involved in getting an approval on this card.,"Nupur
Posted on: Aug 8, 2019",Nupur
